*** This is nuXmv 2.0.0 (compiled on Mon Oct 14 17:48:12 2019)
*** Copyright (c) 2014-2019, Fondazione Bruno Kessler
*** For more information on nuXmv see https://nuxmv.fbk.eu
*** or email to <nuxmv@list.fbk.eu>.
*** Please report bugs at https://nuxmv.fbk.eu/bugs
*** (click on "Login Anonymously" to access)
*** Alternatively write to <nuxmv@list.fbk.eu>.

*** This version of nuXmv is linked to NuSMV 2.6.0.
*** For more information on NuSMV see <http://nusmv.fbk.eu>
*** or email to <nusmv-users@list.fbk.eu>.
*** Copyright (C) 2010-2019, Fondazione Bruno Kessler

*** This version of nuXmv is linked to the CUDD library version 2.4.1
*** Copyright (c) 1995-2004, Regents of the University of Colorado

*** This version of nuXmv is linked to the MiniSat SAT solver. 
*** See http://minisat.se/MiniSat.html
*** Copyright (c) 2003-2006, Niklas Een, Niklas Sorensson
*** Copyright (c) 2007-2010, Niklas Sorensson

*** This version of nuXmv is linked to MathSAT
*** Copyright (C) 2009-2019 by Fondazione Bruno Kessler
*** Copyright (C) 2009-2019 by University of Trento and others
*** See http://mathsat.fbk.eu

-- no counterexample found with bound 0
-- no counterexample found with bound 1
-- no counterexample found with bound 2
-- no counterexample found with bound 3
-- no counterexample found with bound 4
-- no counterexample found with bound 5
-- specification (((((((((((((((( G OAMConsumerPresent &  G OAMProducerPresent) &  G !OAMProducer1Approve) &  G !OAMProducer2Approve) &  G adversaryPresent) &  G !adversaryDiscoveryRequest) &  G !adversaryATRequest) &  G !adversaryServiceRequest) &  G updateLevelConsumer1 = 0) &  G updateLevelConsumer2 = 0) &  G updateLevelProducer1 = 0) &  G updateLevelProducer2 = 0) &  G !updateDiscoveryRequest) &  G !updateServiceRequest) &  G !updateATRequest) &  G ((((isNFServiceNFTypeConsistent & isOpNameOpScopeConsistent) & isOpNameNFServiceNameConsistent) & isOpNameParamConsistent) & isOpScopeAuthAttribConsistent)) ->  G (((s1.isNFDiscovered1 & s1.producer1.nfService1.allowedsNssais[1] != none) & s1.producer1.nfService1.allowedsNssais[2] = none) -> s1.producer1.nfService1.allowedsNssais[1] in s1.consumer.sNssais[1] union s1.consumer.sNssais[2]))    is false
-- as demonstrated by the following execution sequence
Trace Description: BMC Counterexample 
Trace Type: Counterexample 
  -> State: 1.1 <-
    consumer1.model_id = 1
    consumer1.CCA_subject = 1
    consumer1.nfInstanceId = 1
    consumer1.nfType = none
    consumer1.nfStatus = none
    consumer1.sNssais[1] = none
    consumer1.sNssais[2] = none
    consumer1.allowedNFTypes[1] = none
    consumer1.allowedNFTypes[2] = none
    consumer1.allowedsNssais[1] = none
    consumer1.allowedsNssais[2] = none
    consumer1.load = 0
    consumer1.capacity = 0
    consumer1.priority = 0
    consumer1.nfService1.allowedNFTypes[1] = none
    consumer1.nfService1.allowedNFTypes[2] = none
    consumer1.nfService1.load = 3
    consumer1.nfService1.capacity = 3
    consumer1.nfService1.oauth2Required = FALSE
    consumer1.nfService1.priority = 3
    consumer1.nfService1.serviceInstanceId = 11
    consumer1.nfService1.serviceName = none
    consumer1.nfService1.serviceStatus = none
    consumer1.nfService1.sNssais[1] = none
    consumer1.nfService1.sNssais[2] = none
    consumer1.nfService1.allowedsNssais[1] = none
    consumer1.nfService1.allowedsNssais[2] = none
    consumer1.nfService1.operation1.allowedNFInstances[1] = none
    consumer1.nfService1.operation1.allowedNFInstances[2] = none
    consumer1.nfService1.operation1.allowedNFTypes[1] = none
    consumer1.nfService1.operation1.allowedNFTypes[2] = none
    consumer1.nfService1.operation1.opName = none
    consumer1.nfService1.operation1.opScope1 = none
    consumer1.nfService1.operation1.opScope2 = none
    consumer1.nfService1.operation1.param1.isSensitive = FALSE
    consumer1.nfService1.operation1.param1.name = none
    consumer1.nfService1.operation1.param1.value = 0
    consumer1.nfService1.operation1.param1.isVerified = FALSE
    consumer1.nfService1.operation1.param2.isSensitive = FALSE
    consumer1.nfService1.operation1.param2.name = none
    consumer1.nfService1.operation1.param2.value = 0
    consumer1.nfService1.operation1.param2.isVerified = FALSE
    consumer1.nfService1.operation2.allowedNFInstances[1] = none
    consumer1.nfService1.operation2.allowedNFInstances[2] = none
    consumer1.nfService1.operation2.allowedNFTypes[1] = none
    consumer1.nfService1.operation2.allowedNFTypes[2] = none
    consumer1.nfService1.operation2.opName = none
    consumer1.nfService1.operation2.opScope1 = none
    consumer1.nfService1.operation2.opScope2 = none
    consumer1.nfService1.operation2.param1.isSensitive = FALSE
    consumer1.nfService1.operation2.param1.name = none
